"id";"muscle_id";"exercise_id";"body_part_id";"muscle_type"
289;14;24;2;"primary"
290;9;24;2;"primary"
291;13;24;2;"secondary"
292;25;24;2;"secondary"
293;28;24;2;"secondary"
294;31;24;2;"secondary"
295;29;24;2;"secondary"
296;2;24;2;"secondary"
297;1;24;2;"antagonistic"
298;2;24;2;"antagonistic"
299;3;24;2;"antagonistic"
300;7;8;2;"primary"
301;14;8;2;"primary"
302;1;8;2;"primary"
303;5;8;2;"secondary"
304;2;8;2;"secondary"
305;13;8;2;"secondary"
306;11;8;2;"antagonistic"
307;3;8;2;"antagonistic"
308;31;8;2;"antagonistic"
309;24;8;2;"primary"
310;25;8;2;"secondary"
311;7;25;2;"primary"
312;31;25;2;"primary"
313;28;25;2;"primary"
314;24;25;2;"primary"
315;13;25;2;"secondary"
316;25;25;2;"secondary"
317;1;25;2;"secondary"
318;2;25;2;"secondary"
319;24;25;2;"secondary"
320;29;25;2;"secondary"
321;12;25;2;"secondary"
322;26;25;2;"secondary"
323;27;25;2;"secondary"
324;9;25;2;"antagonistic"
325;10;25;2;"antagonistic"
326;3;25;2;"antagonistic"
327;7;26;2;"primary"
328;14;26;2;"primary"
329;24;26;2;"primary"
330;9;26;2;"primary"
331;2;26;2;"secondary"
332;25;26;2;"secondary"
333;13;26;2;"secondary"
334;12;26;2;"secondary"
335;26;26;2;"secondary"
336;27;26;2;"secondary"
337;21;26;2;"secondary"
338;30;26;2;"secondary"
339;1;26;2;"antagonistic"
340;31;26;2;"antagonistic"
341;3;26;2;"antagonistic"
342;7;27;2;"primary"
343;31;27;2;"primary"
344;28;27;2;"primary"
345;24;27;2;"primary"
346;23;27;2;"secondary"
347;32;27;2;"secondary"
348;33;27;2;"secondary"
349;14;27;2;"secondary"
350;34;27;2;"secondary"
351;26;27;2;"secondary"
352;9;27;2;"secondary"
353;3;27;2;"secondary"
354;10;27;2;"antagonistic"
355;19;27;2;"antagonistic"
356;35;27;2;"antagonistic"
357;36;27;2;"antagonistic"
358;7;28;2;"primary"
359;31;28;2;"primary"
360;28;28;2;"primary"
361;24;28;2;"primary"
362;32;28;2;"secondary"
363;23;28;2;"secondary"
364;33;28;2;"secondary"
365;14;28;2;"secondary"
366;13;28;2;"secondary"
367;25;28;2;"secondary"
368;29;28;2;"secondary"
369;26;28;2;"secondary"
370;34;28;2;"secondary"
371;3;28;2;"secondary"
372;9;28;2;"secondary"
373;10;28;2;"antagonistic"
374;19;28;2;"antagonistic"
375;35;28;2;"antagonistic"
376;36;28;2;"antagonistic"
377;7;29;2;"primary"
378;28;29;2;"primary"
379;31;29;2;"primary"
380;14;29;2;"primary"
381;24;29;2;"primary"
382;13;29;2;"secondary"
383;25;29;2;"secondary"
384;33;29;2;"secondary"
385;29;29;2;"secondary"
386;26;29;2;"secondary"
387;27;29;2;"secondary"
388;9;29;2;"secondary"
389;30;29;2;"secondary"
390;37;29;2;"secondary"
391;3;29;2;"antagonistic"
392;2;29;2;"antagonistic"
393;7;30;2;"primary"
394;28;30;2;"primary"
395;31;30;2;"primary"
396;14;30;2;"primary"
397;24;30;2;"primary"
398;13;30;2;"secondary"
399;25;30;2;"secondary"
400;33;30;2;"secondary"
401;29;30;2;"secondary"
402;26;30;2;"secondary"
403;9;30;2;"secondary"
404;3;30;2;"antagonistic"
405;1;30;2;"antagonistic"
406;2;30;2;"antagonistic"
407;7;31;2;"primary"
408;28;31;2;"primary"
409;14;31;2;"primary"
410;24;31;2;"primary"
411;31;31;2;"secondary"
412;30;31;2;"secondary"
413;37;31;2;"secondary"
414;13;31;2;"secondary"
415;25;31;2;"secondary"
416;33;31;2;"secondary"
417;29;31;2;"secondary"
418;12;31;2;"secondary"
419;26;31;2;"secondary"
420;27;31;2;"secondary"
421;3;31;2;"secondary"
422;1;31;2;"antagonistic"
423;2;31;2;"antagonistic"
424;7;32;2;"primary"
425;2;32;2;"primary"
426;14;32;2;"primary"
427;24;32;2;"primary"
428;9;32;2;"secondary"
429;25;32;2;"secondary"
430;13;32;2;"secondary"
431;11;32;2;"secondary"
432;5;32;2;"secondary"
433;27;32;2;"secondary"
434;26;32;2;"secondary"
435;12;32;2;"secondary"
436;3;32;2;"antagonistic"
437;4;32;2;"antagonistic"
438;7;33;2;"primary"
439;31;33;2;"primary"
440;28;33;2;"primary"
441;24;33;2;"primary"
442;32;33;2;"secondary"
443;23;33;2;"secondary"
444;33;33;2;"secondary"
445;14;33;2;"secondary"
446;25;33;2;"secondary"
447;13;33;2;"secondary"
448;29;33;2;"secondary"
449;26;33;2;"secondary"
450;34;33;2;"secondary"
451;3;33;2;"secondary"
452;9;33;2;"secondary"
453;10;33;2;"antagonistic"
454;19;33;2;"antagonistic"
455;2;33;2;"antagonistic"
456;7;34;2;"primary"
457;31;34;2;"primary"
458;28;34;2;"primary"
459;24;34;2;"primary"
460;32;34;2;"secondary"
461;23;34;2;"secondary"
462;33;34;2;"secondary"
463;14;34;2;"secondary"
464;13;34;2;"secondary"
465;25;34;2;"secondary"
466;29;34;2;"secondary"
467;26;34;2;"secondary"
468;34;34;2;"secondary"
469;3;34;2;"secondary"
470;9;34;2;"secondary"
471;10;34;2;"antagonistic"
472;19;34;2;"antagonistic"
473;35;34;2;"antagonistic"
474;36;34;2;"antagonistic"
475;7;35;2;"primary"
476;1;35;2;"primary"
477;33;35;2;"secondary"
478;24;35;2;"secondary"
479;31;35;2;"secondary"
480;3;35;2;"secondary"
481;9;35;2;"secondary"
482;10;35;2;"antagonistic"
483;38;35;2;"antagonistic"
484;7;36;2;"primary"
485;24;36;2;"primary"
486;13;36;2;"primary"
487;25;36;2;"primary"
488;23;36;2;"secondary"
489;32;36;2;"secondary"
490;33;36;2;"secondary"
491;14;36;2;"secondary"
492;26;36;2;"secondary"
493;3;36;2;"secondary"
494;9;36;2;"secondary"
495;13;36;2;"secondary"
496;25;36;2;"secondary"
497;10;36;2;"antagonistic"
498;38;36;2;"antagonistic"
499;19;36;2;"antagonistic"
500;7;37;2;"primary"
501;9;37;2;"primary"
502;14;37;2;"primary"
503;24;37;2;"primary"
504;25;37;2;"secondary"
505;13;37;2;"secondary"
506;31;37;2;"secondary"
507;28;37;2;"secondary"
508;29;37;2;"secondary"
509;12;37;2;"secondary"
510;27;37;2;"secondary"
511;26;37;2;"secondary"
512;21;37;2;"secondary"
513;30;37;2;"secondary"
514;1;37;2;"antagonistic"
515;2;37;2;"antagonistic"
516;3;37;2;"antagonistic"
517;7;38;2;"primary"
518;9;38;2;"primary"
519;14;38;2;"primary"
520;24;38;2;"primary"
521;13;38;2;"secondary"
522;25;38;2;"secondary"
523;31;38;2;"secondary"
524;28;38;2;"secondary"
525;29;38;2;"secondary"
526;26;38;2;"secondary"
527;27;38;2;"secondary"
528;12;38;2;"secondary"
529;21;38;2;"secondary"
530;1;38;2;"antagonistic"
531;2;38;2;"antagonistic"
532;3;38;2;"antagonistic"
533;3;39;3;"primary"
534;10;39;3;"primary"
535;36;39;3;"primary"
536;35;39;3;"primary"
537;38;39;3;"primary"
538;9;39;3;"secondary"
539;19;39;3;"secondary"
540;12;39;3;"secondary"
541;34;39;3;"secondary"
542;5;39;3;"secondary"
543;33;39;3;"secondary"
544;7;39;3;"antagonistic"
545;31;39;3;"antagonistic"
546;23;39;3;"antagonistic"
547;3;40;3;"primary"
548;10;40;3;"primary"
549;35;40;3;"primary"
550;36;40;3;"primary"
551;38;40;3;"primary"
552;9;40;3;"secondary"
553;19;40;3;"secondary"
554;12;40;3;"secondary"
555;34;40;3;"secondary"
556;5;40;3;"secondary"
557;33;40;3;"secondary"
558;7;40;3;"antagonistic"
559;31;40;3;"antagonistic"
560;23;40;3;"antagonistic"
561;3;41;3;"primary"
562;4;41;3;"primary"
563;35;41;3;"primary"
564;36;41;3;"primary"
565;38;41;3;"primary"
566;10;41;3;"secondary"
567;9;41;3;"secondary"
568;19;41;3;"secondary"
569;34;41;3;"secondary"
570;12;41;3;"secondary"
571;27;41;3;"secondary"
572;26;41;3;"secondary"
573;33;41;3;"secondary"
574;7;41;3;"antagonistic"
575;24;41;3;"antagonistic"
576;23;41;3;"antagonistic"
577;31;41;3;"antagonistic"
578;14;41;3;"antagonistic"
579;10;42;3;"primary"
580;38;42;3;"primary"
581;3;42;3;"secondary"
582;9;42;3;"secondary"
583;12;42;3;"secondary"
584;27;42;3;"secondary"
585;26;42;3;"secondary"
586;5;42;3;"secondary"
587;34;42;3;"secondary"
588;6;42;3;"secondary"
589;7;42;3;"antagonistic"
590;23;42;3;"antagonistic"
591;14;42;3;"antagonistic"
592;24;42;3;"antagonistic"
593;33;42;3;"antagonistic"
594;31;42;3;"antagonistic"
595;10;43;3;"primary"
596;38;43;3;"primary"
597;3;43;3;"secondary"
