"id";"user_id";"exercise_id";"created_at";"updated_at"
222;1;1637;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
223;1;1638;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
224;1;1639;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
225;1;1640;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
226;1;1641;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
227;1;1642;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
228;1;1643;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
229;1;1644;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
230;1;1645;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
231;1;1646;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
232;1;1647;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
233;1;1648;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
234;1;1649;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
235;1;1650;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
236;1;1651;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
237;1;1652;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
238;1;1653;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
239;1;1654;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
240;1;1655;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
241;1;1656;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
242;1;1657;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
243;1;1658;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
244;1;1659;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
245;1;1660;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
246;1;1661;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
247;1;1662;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
248;1;1663;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
249;1;1664;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
250;1;1665;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
251;1;1666;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
252;1;1667;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
253;1;1668;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
254;1;1669;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
255;1;1670;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
256;1;1671;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
257;1;1672;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
258;1;1673;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
259;1;1674;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
260;1;1675;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
261;1;1676;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
262;1;1677;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
263;1;1678;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
264;1;1679;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
265;1;1680;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
266;1;1681;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
267;1;1682;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
268;1;1683;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
269;1;1684;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
270;1;1685;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
271;1;1686;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
272;1;1687;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
273;1;1688;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
274;1;1689;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
275;1;1690;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
276;1;1691;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
277;1;1692;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
278;1;1693;"2020-08-30 18:14:33";"2020-08-30 18:14:33"
