"id";"muscle_id";"exercise_id";"body_part_id";"muscle_type";"active"
341;3;26;2;"antagonistic";0
342;7;27;2;"primary";1
343;31;27;2;"primary";1
344;28;27;2;"primary";1
345;24;27;2;"primary";1
346;23;27;2;"secondary";1
347;32;27;2;"secondary";1
348;33;27;2;"secondary";1
349;14;27;2;"secondary";1
350;34;27;2;"secondary";1
351;26;27;2;"secondary";1
352;9;27;2;"secondary";1
353;3;27;2;"secondary";1
354;10;27;2;"antagonistic";0
355;19;27;2;"antagonistic";0
356;35;27;2;"antagonistic";0
357;36;27;2;"antagonistic";0
358;7;28;2;"primary";1
359;31;28;2;"primary";1
360;28;28;2;"primary";1
361;24;28;2;"primary";1
362;32;28;2;"secondary";1
363;23;28;2;"secondary";1
364;33;28;2;"secondary";1
365;14;28;2;"secondary";1
366;13;28;2;"secondary";1
367;25;28;2;"secondary";1
368;29;28;2;"secondary";1
369;26;28;2;"secondary";1
370;34;28;2;"secondary";1
371;3;28;2;"secondary";1
372;9;28;2;"secondary";1
373;10;28;2;"antagonistic";0
374;19;28;2;"antagonistic";0
375;35;28;2;"antagonistic";0
376;36;28;2;"antagonistic";0
377;7;29;2;"primary";1
378;28;29;2;"primary";1
379;31;29;2;"primary";1
380;14;29;2;"primary";1
381;24;29;2;"primary";1
382;13;29;2;"secondary";1
383;25;29;2;"secondary";1
384;33;29;2;"secondary";1
385;29;29;2;"secondary";1
386;26;29;2;"secondary";1
387;27;29;2;"secondary";1
388;9;29;2;"secondary";1
389;30;29;2;"secondary";1
390;37;29;2;"secondary";1
391;3;29;2;"antagonistic";0
392;2;29;2;"antagonistic";0
393;7;30;2;"primary";1
394;28;30;2;"primary";1
395;31;30;2;"primary";1
396;14;30;2;"primary";1
397;24;30;2;"primary";1
398;13;30;2;"secondary";1
399;25;30;2;"secondary";1
400;33;30;2;"secondary";1
401;29;30;2;"secondary";1
402;26;30;2;"secondary";1
403;9;30;2;"secondary";1
404;3;30;2;"antagonistic";0
405;19;30;2;"antagonistic";0
406;2;30;2;"antagonistic";0
407;7;31;2;"primary";1
408;28;31;2;"primary";1
409;14;31;2;"primary";1
410;24;31;2;"primary";1
411;31;31;2;"secondary";1
412;30;31;2;"secondary";1
413;37;31;2;"secondary";1
414;13;31;2;"secondary";1
415;25;31;2;"secondary";1
416;33;31;2;"secondary";1
417;29;31;2;"secondary";1
418;12;31;2;"secondary";1
419;26;31;2;"secondary";1
420;27;31;2;"secondary";1
421;3;31;2;"secondary";1
422;19;31;2;"antagonistic";0
423;2;31;2;"antagonistic";0
424;7;32;2;"primary";1
425;2;32;2;"primary";1
426;14;32;2;"primary";1
427;24;32;2;"primary";1
428;9;32;2;"secondary";1
429;25;32;2;"secondary";1
430;13;32;2;"secondary";1
431;11;32;2;"secondary";1
432;5;32;2;"secondary";1
433;27;32;2;"secondary";1
434;26;32;2;"secondary";1
435;12;32;2;"secondary";1
436;3;32;2;"antagonistic";0
437;4;32;2;"antagonistic";0
438;7;33;2;"primary";1
439;31;33;2;"primary";1
440;28;33;2;"primary";1
441;24;33;2;"primary";1
442;32;33;2;"secondary";1
443;23;33;2;"secondary";1
444;33;33;2;"secondary";1
445;14;33;2;"secondary";1
446;25;33;2;"secondary";1
447;13;33;2;"secondary";1
448;29;33;2;"secondary";1
449;26;33;2;"secondary";1
450;34;33;2;"secondary";1
451;3;33;2;"secondary";1
452;9;33;2;"secondary";1
453;10;33;2;"antagonistic";0
454;19;33;2;"antagonistic";0
455;2;33;2;"antagonistic";0
456;7;34;2;"primary";1
457;31;34;2;"primary";1
458;28;34;2;"primary";1
459;24;34;2;"primary";1
460;32;34;2;"secondary";1
461;23;34;2;"secondary";1
462;33;34;2;"secondary";1
463;14;34;2;"secondary";1
464;13;34;2;"secondary";1
465;25;34;2;"secondary";1
466;29;34;2;"secondary";1
467;26;34;2;"secondary";1
468;34;34;2;"secondary";1
469;3;34;2;"secondary";1
470;9;34;2;"secondary";1
471;10;34;2;"antagonistic";0
472;19;34;2;"antagonistic";0
473;35;34;2;"antagonistic";0
474;36;34;2;"antagonistic";0
475;7;35;2;"primary";1
476;19;35;2;"primary";1
477;33;35;2;"secondary";1
478;24;35;2;"secondary";1
479;31;35;2;"secondary";1
480;3;35;2;"secondary";1
481;9;35;2;"secondary";1
482;10;35;2;"antagonistic";0
483;38;35;2;"antagonistic";0
484;7;36;2;"primary";1
485;24;36;2;"primary";1
486;13;36;2;"primary";1
487;25;36;2;"primary";1
488;23;36;2;"secondary";1
489;32;36;2;"secondary";1
490;33;36;2;"secondary";1
491;14;36;2;"secondary";1
492;26;36;2;"secondary";1
493;3;36;2;"secondary";1
494;9;36;2;"secondary";1
495;13;36;2;"secondary";1
496;25;36;2;"secondary";1
497;10;36;2;"antagonistic";0
498;38;36;2;"antagonistic";0
499;19;36;2;"antagonistic";0
500;7;37;2;"primary";1
501;9;37;2;"primary";1
502;14;37;2;"primary";1
503;24;37;2;"primary";1
504;25;37;2;"secondary";1
505;13;37;2;"secondary";1
506;31;37;2;"secondary";1
507;28;37;2;"secondary";1
508;29;37;2;"secondary";1
509;12;37;2;"secondary";1
510;27;37;2;"secondary";1
511;26;37;2;"secondary";1
512;21;37;2;"secondary";1
513;30;37;2;"secondary";1
514;19;37;2;"antagonistic";0
515;2;37;2;"antagonistic";0
516;3;37;2;"antagonistic";0
517;7;38;2;"primary";1
518;9;38;2;"primary";1
519;14;38;2;"primary";1
520;24;38;2;"primary";1
521;13;38;2;"secondary";1
522;25;38;2;"secondary";1
523;31;38;2;"secondary";1
524;28;38;2;"secondary";1
525;29;38;2;"secondary";1
526;26;38;2;"secondary";1
527;27;38;2;"secondary";1
528;12;38;2;"secondary";1
529;21;38;2;"secondary";1
530;19;38;2;"antagonistic";0
531;2;38;2;"antagonistic";0
532;3;38;2;"antagonistic";0
533;3;39;3;"primary";1
534;10;39;3;"primary";1
535;36;39;3;"primary";1
536;35;39;3;"primary";1
537;38;39;3;"primary";1
538;9;39;3;"secondary";1
539;19;39;3;"secondary";1
540;12;39;3;"secondary";1
541;34;39;3;"secondary";1
542;5;39;3;"secondary";1
543;33;39;3;"secondary";1
544;7;39;3;"antagonistic";0
545;31;39;3;"antagonistic";0
546;23;39;3;"antagonistic";0
547;3;40;3;"primary";1
548;10;40;3;"primary";1
549;35;40;3;"primary";1
550;36;40;3;"primary";1
551;38;40;3;"primary";1
552;9;40;3;"secondary";1
553;19;40;3;"secondary";1
